VILLAGE_NAME_ENGLISH,PH,EC,Organinc Carbon,PHOSPHOROUS,POTASH,CALCIUM_CARBONATE,FERROUS,MANAGESE,ZINK,COPPER,Total Rating Value
KURUNDWAD,7.22,0.42,0.6,12.9,400,5.6,14.4,38,0.04,2.14,481.32
ARJUNWAD,7.59,1.1,0.7,26,560,7.2,26,40,0.6,5,674.19
ARJUNWAD,7.58,0.42,0.6,19,227,6.8,23,38,0.4,4,326.8
ARJUNWAD,7.52,0.45,0.5,8,188,6.8,26,41,0.3,4,282.57
ARJUNWAD,7.78,0.66,0.6,5,248,7.2,25,33,0.3,4,331.54
ARJUNWAD,7.63,0.58,0.3,5,220,6,25,41,0.1,4,309.61
ARJUNWAD,7.59,0.39,0.8,22,560,6,20,62,0.4,3,682.18
ARJUNWAD,7.58,0.45,0.6,30,280,4.8,21,40,0.1,3,387.53
ARJUNWAD,7.35,0.85,0.6,23,316,6,20,43,0.1,3,419.9
ARJUNWAD,7.85,0.35,0.6,13,358,11.2,21,37,0.1,3,452.1
SHIRATI,7.79,0.36,0.5,14,477,16,16,23,1,2,557.65
SHIROL,7.92,0.55,0.8,3,560,8.4,15.2,22,0.2,3,621.07
CHINCHWAD,7.78,0.47,0.4,8,479,14,14,37,0.1,3,563.75
SHIROL,7.64,0.82,0.6,13,526,4.8,16,42,0.1,3,613.96
CHINCHWAD,7.62,1.55,0.5,10,560,7.6,14,43,0.2,3,647.47
SHIROL,7.34,0.52,0.8,16,280,4.8,25,41,0.2,3,378.66
SHIROL,7.77,0.69,0.3,7,206,6.4,15,32,0.1,3,278.26
SHIROL,7.72,0.89,0.4,2,179,6.8,14,31,0.1,3,244.91
SHIROL,7.73,0.95,1.05,2,538,7.6,16,27,0.1,2,602.43
SADALGA,7.92,0.38,0.6,4,358,14,8,28,0.1,2,423
SADALGA,8,0.35,0.6,4,560,14,7,29,0.1,2,625.05
SADALGA,7.93,0.33,0.3,4,280,15,9,23,0.1,3,342.66
SADALGA,7.87,0.37,0.8,4,413,14.8,11,32,0.1,3,486.94
SADALGA,7.85,0.2,0.5,2,560,15.2,8,28,0.1,2,623.85
BORGAON,7.92,0.32,0.5,13,322,15.6,10,26,0.1,3,398.44
BORGAON,7.88,0.64,0.4,6,560,13.6,8,27,0.02,3,626.54
BORGAON,7.62,1.18,1.25,23,560,12.8,11,37,0.2,3,657.05
BORGAON,7.89,0.55,0.6,6,538,15,9,33,0.1,2,612.14
JANWAD,7.82,0.25,0.6,5,358,12,10,24,0.1,3,420.77
CHAND-SHIRADWAD,7.78,0.42,0.5,10,501,6.4,9,27.1,0.1,3,565.3
JANWAD,7.73,0.26,0.3,10,316,5.2,9,28,0.1,2,378.59
SHIROL,6.62,0.33,0.5,28,413,3.6,26,86,0.4,4,568.45
KURUNDWAD,7.79,0.45,0.7,13,359,6.4,23,43,0.3,3,456.64
KURUNDWAD,7.7,0.45,0.6,14,423,6.4,13,51,0.1,3,519.25
KURUNDWAD,7.1,0.75,0.7,18,501,4.4,38,52,1,5,627.95
SHIROL,7.05,0.45,0.5,23,372,5.2,36,56,0.6,5,505.8
KURUNDWAD,7.7,0.35,0.4,5,235,5.2,20,38,0.2,4,315.85
KURUNDWAD,6.82,0.33,0.7,17,316,4,52,52,0.6,6,455.45
